"Мы узнали, что один высокопоставленный чиновник часто посещает бордель.",Следите за ним `;R-5;`,У всех свои слабости `;N-0;`,"Милорд, мы узнали, что он воспользовался тремя женщинами одновременно... \n\nИ разочаровал всех трёх одинаково `;I+5;`","Воистину, милорд `;N-0;`"
"В Столице объявляется новый Ткач, подающий большие надежды.\n\nЕго талант — инкрустация брони и одежды дорогой экзальтканью, которая даёт носителям вдохновение, воодушевление и силу воли.\n\nЗакажете ли вы подобную одежду для своих слуг и Гвардии?",Да `;R-20;`,Нет `;N-0;`,"Партия одежды и брони, инкрустированной нитями чистой эйфории, значительно повышает эффективность работы вашей Гвардии и учёных. `;K+10;G+10;`","Ваши слуги и гвардейцы с завистью смотрят на подчинённых ваших соперников, полных воодушевления. Вы посеяли семена недовольства. `;K-5;G-5;`"
"Ночью к вам прилетает ворон. В вашей голове начинает появляться подробный план похищения. Цель — незамужняя дочь обедневшего рода.\n\nПотребуется несколько гвардейцев и шпионов.\n\nВы чувствуете, что награда будет велика. ",Похитить `;G-10;I-10;`,Прогнать ворона `;K-5;`,"План исполнен безупречно. В лесу, в обозначенном месте, ваши гвардейцы обнаруживают сундук, доверху заполненный звёздным серебром. Они оставляют девушку в лесу и забирают сундук.\n\nИногда вы начинаете замечать краем глаза ворона, пролетающего по ночам. `;R+20;K+10;`","Ворон улетает, забирая с собой ваши воспоминания за последнюю неделю. `;N-0;`"
"Ваш соперник готов покрыть одну из рыночных площадей Столицы мостовой из мерцающего мрамора: дорогого камня, усиливающего потоки мистических энергий.\n\nСоперник утверждает, что статуя орла в центре площади даст и продавцам и покупателям интуицию и восприятие: качества, необходимые для честной и благотворной торговли.\n\nВы подозреваете, что не всё так просто: помимо народного одобрения, он может получить контроль над торговлей в этом районе.\n\nПускать ситуацию на самотёк нельзя. Саботировать строительство? Или начать подобный проект на другой площади?",Саботировать строительство `;I-20;`,Сделать так же `;R-20;K-10;`,"Выяснилось, что купленный мерцающий мрамор ещё не привезён с другой планеты. Ваши шпионы смогли устроить диверсию на корабле, изменив его курс и отвязав его солнечные паруса. \n\nКорабль, вся его команда и перевозимый мрамор оказались обречены на дрейф в Пустоте.\n\nВаши шпионы тайно перевозят паруса из экзальткани обратно в Столицу и продают их, не привлекая к себе внимания. Подобного строительства в ближайшее время точно не случится. `;R+20;`","Вы решаете сделать то же самое на другой торговой площади. Эффект от стоящей на площади статуи корабля, парящего в лучах Солнца, усиливается многократно. Благодаря хорошо замаскированным в гравировке мрамора глазам, вы знаете обо всём, что происходит на этой площади. `;I+20;K+10;`"
"Столицу посетил ремесленник из Лунного Цеха.\n\nОн продаёт необычную деревянную броню, что крепче закалённой стали. Броня не украшена колдовскими символами, и не укреплена молитвами.\n\nЧтобы воспользоваться возможностью, следует поспешить: его товары пользуются большим спросом. ",Заказать броню `;R-10;`,Исследовать колдовство `;K-10;`,"Вы снарядили нескольких гвардейцев этой необычной бронёй. Она превосходит ваши ожидания, наполняя гвардейцев силой и бесстрашием.\n\nСпустя месяц, когда ремесленник уже улетел, броня врастает в гвардейцев, и они более не могут её снять.\n\nНе смотря на побочный эффект, броня хорошо выполняет свои функции. `;G+10;`","Вы купили самый дешёвый комплект, и наняли ментатов, которые могут разобраться в происхождении такого материала.\n\nОни с лёгкостью заключают, что такая древесина происходит из Сароса, измерения Великого Цикла. Возгонка древесины высвобождает остатки духа Красного Льва, что был в ней заключён. Теперь он в вашем распоряжении.\n\nОднако, какой именно ритуал позволил Лунному Цеху воплотить такую броню, остаётся загадкой. `;K+10;`"
"К вам приходит письмо из церкви Эктиля, Мечтателя Бездны.\n\nЭто официальное прошение проспонсировать сооружение храма Пустотного Причащения вне границ гелиосферы, или помочь с его охраной от Порождений Хлада.\n\nВзамен они предлагают разделить с вами Мудрость, пришедшую Извне.\n\nВы понимаете, что отказ столь уважаемой церкви нанесёт удар вашей репутации.",Проспонсировать `;R-15;`,Защищать `;G-15;`,"Ваш вклад не остался незамеченным.\n\nСтроительство храма Пустотного Причащения продолжается.\n\nНочью вам приходит откровение о священных делинеациях, пронизывающих пространство-время. `;K+15;`","Отправляя отряд гвардейцев за пределы солнечного щита, вы осознаёте, что они больше не вернутся.\n\nВаше предчувствие вас не подвело: через несколько лет их души, направленные церковью Эктиля, начинают шептать вам во сне.\n\nВы узнаёте много нового о своём окружении. `;I+15;`"
"До вас доходят слухи, что крестьяне на одной из лун Сатурна готовы поднять бунт против своего графа, который планомерно снижал квоты на тепло.\n\nОн нанял ментатов, которые пытаются открыть портал в небесное царство Нефос. Для экспериментов им нужно много энергии и тепла.\n\nРискованное предприятие, грозящее или погубить значительную часть населения, или окутать города и деревни тёплыми ветрами и облаками Нефоса.\n\nВы узнали об этом раньше остальных, и медлить нельзя: иначе кто-то другой воспользуется ситуацией.",Поддержать крестьян `;I-15;`,Поддержать феодала `;G-15;`,"Вы выслали шпионов, которые создали подпольную организацию из молодых крестьян, готовых к смерти ради своего народа.\n\nНесколько хорошо скоординированных нападений на учёных пресекли дальнейшие эксперименты.\n\nНекоторых крестьян публично казнили, однако теперь ни один учёный и близко не подлетит к этой планете.\n\nОткрытие портала остановлено, и графу ничего не остаётся, кроме как вернуть тепло в деревни.\n\nВ качестве благодарности, община тайно вам поставляет лучшие плоды своего урожая. `;R+15;`","Вы выслали гвардейский отряд для подавления очагов сопротивления.\n\nСамые заметные провокаторы устранены, и бунт, по крайней мере, на время, пресечён.\n\nВ качестве благодарности, граф делится с вами своими последними изысканиями в области обратного метемпсихоза, при помощи которого он планирует открыть портал в Нефос. `;K+15;`"
"Во время посещения Императорской Галереи, вы неожиданно для себя оказываетесь лицом к лицу с одним из оракулов Гихейм, Зеркала Мира.\n\nВ его глазах, выполненных из золота, вы видите ваше отражение. Через несколько мгновений оно начинает размываться, пока не исчезает совсем.\n\nЛицо оракула начинает выражать интерес.\n\n""Почему видение смерти пришло бессмертному?"", спрашивает он вас.  ",Это не моя смерть `;I-10;`,Я ещё могу исчезнуть `;K-10;`,"""Я постоянно умираю в затухающих сознаниях бесчисленных смертных, которые, имев со мной знакомство, уходят по ту сторону. Это видение пришло мне как указание побыть вдалеке от чьих-либо глаз. Чтобы смертные, которые могут мне навредить, отжили свой век.""\n\nВыслушав ваш ответ, оракул вручает вам символ золотой светящейся звезды, и уходит.\n\nВы следуете совету оракула, и отправляетесь в небольшое пятилетнее путешествие за пределами гравитационного колодца Солнечной Системы. `;K+10;`","""Чтобы стать бессмертным, я пережил смерть в Великой Войне. Теперь я нахожусь на тонкой границе между этим и иным миром, постоянно поддерживая баланс. Это видение пришло мне как напоминание: больше уделять внимания людям, которые меня окружают, нежели потусторонним силам. Иначе я могу раствориться в небытии.""\n\nВыслушав ваш ответ, оракул вручает вам символ красной чаши, и уходит.\n\nВы следуете совету оракула, и собираете небольшой раут на орбите, наслаждаетесь красотой мира и узнаёте последние слухи. `;I+10;`"
"У вас просит аудиенции молодая Сестра Эйдотеи, Госпожи Красоты и Гнева. Она просит вас поведать ей историю, которую она сможет рассказать цветам в Рычащем Саду её монастыря. О чём будет ваша история?",О древнем возмездии `;K-5;`,О куртуазной любви `;I-5;`,"Вы рассказываете историю о Кроцее. Её Океан затянул льдом Трисмолин, Страж Искусства и Лорд Снега, в надежде навечно сохранить её красоту.\n\nТысячелетиями Кроцея была закована в ледяной темнице, пока не сотворила произведение, способное разрушить колдовство Трисмолина. Она использовала орбитальный резонанс, и зазвучала симфония из подводных вулканов и треска километрового слоя льда. Так, Кроцея доказала, что красота жива только в сражении за собственное право существовать.\n\nСестра Эйдотеи поблагодарила вас, сказав что передаст историю цветам. Через пару недель, вам приносят цветок, что горит, но не сгорает. Он наполняет вас чувством светлого гнева. Пригодится в случае, когда нужны решительные действия.\n\nВы передаёте цветок капитану гвардии, ему он полезнее. `;G+5;`","Вы рассказываете историю, которую сами недавно услышали.\n\nЖена одного из королей из Внешнего Пояса влюбилась в верного рыцаря её мужа. Это чувство оказалось взаимным.\n\nРади своей Леди, рыцарь совершал подвиги во Внешнем Поясе, искореняя Порождения Хлада. Однако, завистница королевы использовала колдовство, придала себе её внешний облик, и соблазнила рыцаря. Тот не смог устоять перед искушением. После этого, завистница придала огласке порочную связь.\n\nРыцарь и Леди были с позором казнены королём: их оставили умирать в космосе. Через несколько лет, вылетая на охоту, этот король увидел два обнимающихся тела на орбите.\n\nСестра Эйдотеи поблагодарила вас, сказав что передаст историю цветам. Через пару недель, вам приносят белый светящийся жасмин. Он наполняет вас чувством сладкой печали.\n\nМожно будет подарить кому-нибудь. `;R+5;`"
"Вы решили развеяться и отправились на соколиную охоту в заснеженные степи. Вы запустили сокола, и потеряли его из виду.\n\nЧерез некоторое время вы увидели птицу, пикирующую на землю с добычей. Когда вы прибыли на место, вы увидели, что сокол поймал своего двойника: точно такого же сокола, с такими же цветными лентами на лапах.\n\nВ этом месте явно что-то не так с течением времени.",Идти по своим следам`;K-10;`,Исследовать `;G-10;`,"Вы приказываете своей свите осторожно возвращаться по своим следам, идя задом наперёд и шепча охранные заговоры.\n\nПока вы идёте, вы видите восходящую днём Луну. Она погружает вас и вашу свиту в подобие транса.\n\nВы не знаете сколько прошло времени: месяц, или пара минут. Однако, когда вы выходите из этого места, вы видите тушу серебряного кабана, лежащую на границе между степью и лесом.\n\nКем бы ни был хозяин этого места, он отплатил вам за оказанное уважение. `;R+10;`","Вы приказываете нескольким гвардейцам построиться, и следовать за вами, пока остальная свита ждёт вас.\n\nВы идёте вглубь этого места. Вы видите, как с запада начинает подниматься Солнце. Люди начинают нервничать, но вы продолжаете путь.\n\n  Взойдя на холм, вы замечаете группу людей, идущих вам навстречу. Группу ваших двойников. Растущее напряжение постепенно становится невыносимым для гвардейцев. Они разворачиваются и бегут, как и гвардейцы-двойники.\n\nПостепенно, вы сближаетесь с самим собой, и останавливаетесь. Ваш двойник с интересом смотрит на вас, пока не протягивает руку. Вы повторяете его действие, протягиваете руку и пожимаете её.\n\nВы чувствуете, что ваши сознания сливаются воедино. Вы узнаёте больше о священных делинеациях, пронизывающих мир. Вскоре, ваш двойник растворяется в воздухе.\n\nВозвращаясь назад, вы видите ваших гвардейцев обезумевшими, а остальную свиту напуганной. `;K+10;`"
"В столице объявляется команда несчастных наёмников, проклятых Анакритом на вечную смерть и перерождение. В бою им нет равных, ведь граница между жизнью и смертью для них стёрта. Однако, они совершенно неприспособлены к мирной жизни: если они не умирают, их начинает поглощать безумие.\n\nДержать такую силу постоянно занятой — дорогое удовольствие, и они знают цену своих услуг. Но вы думаете, что они будут очень благодарны, если кто-то их избавит от проклятья.",Нанять `;R-15;`,Избавить от проклятья `;K-15;`,"Изрядно заплатив наёмникам, вы нанимаете их в свою гвардию. Вы теперь знаете. кого точно посылать на суицидальные миссии. `;G+15;`","Вы убеждаете их избавиться от проклятья, и начинаете долгий сложный ритуал, снимающий оковы с душ, проклятье которых не даёт им покинуть этот мир даже после смерти.\n\nКогда наступает лунное затмение, крики обезумевших наёмников стихают, и души наконец покидают их тела с выдохом, что подобен горному морозному ветру. Их тела обращаются во прах, и они оставляют за собой всю древнюю экипировку, закалённую в бесчисленных боях, и оружие, что пропитано энергией многих жизней. Вы справедливо полагаете, что это им больше не понадобится. `;R+15;`"
"Человек в плаще приближается к вам во время ночного променада. Его движения несколько неуклюжи, немного неестественны. Плащ застёгнут на брошь: маленький обсидиановый серп.\n\nЧеловек предлагает вам сделку: пятеро гвардейцев отправляются на орбиту в условленное место, и никогда не возвращаются. В обмен, в вашей сокровищнице появляется сундучок, наполненный алмазами.",Согласиться `;G-10;`,Расследовать `;I-10;`,"Вы посылаете на орбиту пятерых нерадивых гвардейцев под благовидным предлогом, и предпочитаете не думать об их дальнейшей судьбе.\n\nНаутро, в вашей сокровищнице становится на один сундучок с алмазами больше. `;R+10;`","Вы посылаете на орбиту пятерых лучших гвардейцев, двух шпионов и одного телепата. В условленной точке катер был перехвачен безлюдным кораблём без парусов. После стыковки и открытия шлюза, ваши люди начали исследовать корабль-призрак, пока не поняли, что это — хранилище душ. После осознания, их жизненная сила начала их покидать, но они смогли повредить центральный обелиск корабля.\n\nОни выжили, и вернулись с одним из малых обелисков, что был пропитан сотнями душ воинов.\n\nВы заключили с ними сделку: души воинов передадут свой опыт вашим гвардейцам, и вы их отпускаете в загробный мир. Души соглашаются. `;G+10;`"
"В разговоре с астрологом вы узнаёте, что через 27 дней граница между обычным миром и Саросом истончится. Ритуалы Тела будут особенно эффективны в это время. ",Провести ритуал Эманации `;K-15;R-5;`,Провести ритуал Очищения `;I-15;R-5;`,"В назначенный день вы совершаете все необходимые приготовления приказывете вашим воинам взойти вместе с вами на гору, ближе к Луне.\n\nТе, кто смог дойти до конца, становятся частью ритуала.\n\nПока гвардейцы поют гимны, вы, с зажжённым Пламенем в фонарях, вы призываете Свет Кайллора, что пронизывает грани между мирами.\n\nИз Света Пламени выходит Первый Гость. Воины подносят ему дар: необработанный горный хрусталь.\n\nПервый Гость возносит хрусталь, и лунный свет начинает тонкой нитью литься сквозь невидимые трещины в кристалле. Воины подводят к этой нити чёрного быка, и он, подгоняемый Ветрами Сароса, проходит внутрь нити, исчезая в ней.\n\nИз Света Луны выходит Второй Гость. Сарос принял подношение. Своими артериями Второй Гость пронзает вас и ваших слуг, пуская по ним прозрачный ихор.\n\nС наступлением рассвета, оба Гостя исчезают. Ваши воины теперь соединены единым инстинктом, что значительно повышает их слаженность и боеспособность. `;G+20;`","В назначенный день вы совершаете все необходимые приготовления приказывете вашим ремесленникам в белых мантиях взойти вместе с вами на гору, ближе к Луне.\n\nТе, кто смог дойти до конца, становятся частью ритуала\n\nПод аккомпанимент гимнов, ремесленники возносят к Луне свои подношения Анакриту: лучшие их творения за последний лунный цикл, украшенные золотом и драгоценными камнями.\n\nЛунный свет спускается с небес тонкой нитью, образуя на снегу светящуюся купель.\n\nРемесленники входят в неё, и свет поглощает их, насыщая души сакральными знаниями о трансформациях Мирового Тела. `;K+20;`"
"Прошёл слух, что в лесу видели мистического зверя, будто сошедшего с герба соперничающего с вами Дома.\n\nЕго поимка будет честью для вас и унижением для них.\n\nМедлить нельзя, иначе другие могут воспользоваться этой возможностью раньше вас.",Устроить охоту `;G-10;`,Приманить зверя `;I-10;`,"Охота быстро пошла не по плану.\n\nЗверь оказался слишком силён и проворен, и уничтожил бы охотников, если бы вы вовремя не предложили ему обмен: их души взамен на тайны Дома-конкурента.\n\nК вашему облегчению и ужасу охотников, зверь согласился.`;I+10;`","Зная слабости и грехи этого Дома, вы расположили возле магического капкана розы, выращенные на слёзах вдов.\n\nЗверь угодил в вашу ловушку, и вскоре вы украсили его чучелом свою приёмную. `;R+10;`"
"Во время вашего визита гор Ио, вы становитесь свидетелем преступления.\n\nМужчина в древней броне и с обсидиановым мечом нападает на патруль, зашедший слишком далеко в горы.\n\nЕго техника фехтования подобна жестокому ритуалу хтоническим силам, что бороздили эти горы до Войны. Видимо, мстительный дух когда-то переселился в тело воина.\n\nКогда вы спускаетесь к нему, патруль уже мёртв.\n\nДух распознаёт бессмертного Тонарха, и шёпотом спрашивает что вам нужно.",Взять его в гвардию `;I-5;`,Изгнать духа `;K-5;`,"""Я хочу помочь тебе утолить жажду мести. Дать цель, что путеводной звездой воссияет во мраке твоей жизни. Если ты поступишь ко мне на верную службу, я укажу на виновника твоих страданий, и ты сможешь обрести вечный покой.""\n\nВы оказываетесь достаточно убедительны, и дух будет служить вам до тех пор, пока вы или не исполните обещание, или не утратите над ним контроль. `;G+5;`","Вы создаёте вспышку священного света Кайллора. Мстительный дух расщепляется и отправляется в небытие.\n\nДревнее тело, которому он веками не давал умереть, рассыпается в прах, оставляя дорогую довоенную экипировку. `;R+5;`"
"У одного из ваших гвардейцев открылась сквозная дыра в груди. Гвардеец жив, но разум его помутнён видениями, а тело постепенно разрушается из-за сверхъестественных трещин, расходящихся от дыры. Вы различаете в этом неизлечимую болезнь, насланную Эктилем, Мечтателем Бездны. Гвардеец скоро умрёт. Нужно действовать быстро. К культу какого Древнего вы обратитесь?","Анакрит, Возрождающий Палач `;G-5;`","Кроцея, Композитор Океана `;G-5;`","Вы обращаетесь к Перерождающимся за помощью. Они не могут спасти гвардейца от болезни, но, через сложный ритуал Подношения Анакриту, они переносят Тело гвардейца в неумирающие земли Сароса. Там он растворится и будет собран вновь, обращённый в зверя. Благодаря созерцанию этого ритуала, вы глубже познаёте тайны Тела. `;K+5;`","Вы обращаетесь к Ткачам за помощью. Они не могут спасти гвардейца, но колдвоством даруют ему временную ясность Ума и Души. Из его предсмертной исповеди, Ткачи плетут гобелен из экзальткани, повествующий о жизни гвардейца. Вы узнаёте несколько полезных секретов о вашем окружении. `;I+5;`"
"В глубине космоса, ",Изучить `;K-15;`,Убить `;G-15;`,"Дракон эктилевский и в его груди обнаруживаете древний артефакт, шепчущий желания подсознания окружающих `;I+15;`",Дракон эктилевский и его голова станет ценным трофеем `;R+15;`
"В сияющем храме Явления, посвящённому Зоэру, Всевидящему Златоусту, происходит какая-то фигня",Разобраться `;K-10;`,Установить слежку `;R-10;`,"Разобрались, дают артефакт позволяющий предвидеть на пять секунд в будущее. Вы отдаёте его своему лучшему воину. `;G+10;`","Чел последователь урицена смог избежать пронзающего взора священников Зоэра. Пусть они и могут видеть невидимое и различать ложь, они не могут распознать играющего свою роль, который к тому же всегда говорит только правду. Под давлением, чел соглашается рассказать вам всё, что узнал на исповедях при судах, которые проводятся в этом храме. `;I+10;`"
Ваш алхимик изобрёл трансфузию ртути. Как использовать его изобретение?,Исследовать дальше`;R-10;`,Усилить гвардию `;R-10;`,"Проспонсировав эксперименты, вы получаете знания `;K+10;`",Яд `;G+10;`
"У одного из ваших гвардейцев открылась сквозная дыра в груди. Внутри дыры открылись трещины, из которых испаряется чёрный дым, образующий геометрические паттерны",Изучить `;G-5;`,Оставить как есть `;G-5;`,"Что-то там с Кайллором, Проявляющим Свет. гвардеец погибает, тк это болезнь`;K+5;`","Гвардеец чувствует себя всё хуже с каждым днём. В последние дни жизни он бредит, но в этих бреднях рассказывает секрет`;I+5;`"
"Во время охоты навигатор засекает необычный сигнал, происходящий от кометы. ",Забрать `;G-5;`,Посмотреть в прошлое `;K-5;`,"Отправленные помирают, зато схрон с невозможной фигурой, времён Древней Империи. Любопытная находка, можно продать коллекционеру. `;R+5;`","Призвав силы Зоэра Всевидящего, вы смотрите в прошлое. Оказывается, что заколдованный схрон оставил корабль барона из Внутреннего Пояса. Он явно пытался это спрятать, но не получилось. Вам будет о чём поговорить с его сюзереном. `;I+5;`"
С заговорщецким видом к вам приближается фигура. У меня есть ценная информация. Но за каждую информацию нужно платить,Заплатить `;R-5;`,Я знаю кто ты `;I-5;`,Рассказывает секретик `;I+5;`,"Я видел эту встречу во сне. Так же я видел, что позади вас вырастают шесть крыльев. Я не хочу мелочных секретов, я хочу большего. Того, чему нет цены. Фигура усмехается и уходит. Вы обнаруживаете в своей руке прозрачное перо. `;K+5;`"
"В течении месяца, каждые пять дней, одного дворянина обнаруживают мёртвым. Сначала — единственный наследник обедневшего рода, потом — отшельник, доживающий свой век вдали от Имперского Двора. Потом аппетиты убийцы начали расти: целями становились всё более и более влиятельные люди.\n\n Когда ваши советники сообщили о таинственной смерти вашего семнадцатиюрдного пра-пра-правнука, вы вознамерились решить эту проблему.\n\nПосле недолгого расследования, выяснилось, что все жертвы умирали как будто бы от невероятно длинных цепочек случайных событий, которые приводили к несчастному случаю.\n\nКто-то явно манипулирует причинно-следственными связями при помощи магии Гихейм, Зеркала Мира. Но как выследить такого убийцу?",Преследовать свои неудачи `;I-10;R-10;`,Найти аномалии в Зеркале `;K-15;`,"Вы поняли, что убийца будет использовать неудачные стечения обстоятельств, чтобы сбить вас с правильного пути. И поэтому вы начинаете делать ровно противоположное: игнорировать дурные знаки и цепляться за каждую неудачу. Спустя месяц усиливающегося цикла неудач, вы выходите на убийцу, проиграв ему в покер: ",
